file	category	reason	start	end	text	type	existing_start	existing_end	existing_text	existing_type
47	D	trailing_punct_type_upgrade	1169	1190	ung thư biểu mô tuyến	CHẨN_ĐOÁN	1169	1191	ung thư biểu mô tuyến.	TRIỆU_CHỨNG
5	A	drug_junk_boundary	1375	1383	propofol	THUỐC	1375	1386	propofol để	THUỐC
50	A	drug_junk_boundary	1468	1479	amoxicillin	THUỐC	1468	1480	amoxicillin.	THUỐC
50	A	drug_junk_boundary	1539	1551	azithromycin	THUỐC	1539	1552	azithromycin.	THUỐC
51	C	diagnosis_span_expand	1203	1221	hạ kali máu rõ rệt	CHẨN_ĐOÁN	1203	1214	hạ kali máu	TRIỆU_CHỨNG
57	C	diagnosis_span_expand	187	228	bệnh rễ thần kinh tuỷ sống ở ngón tay cái	CHẨN_ĐOÁN	187	224	bệnh rễ thần kinh tuỷ sống ở ngón tay	CHẨN_ĐOÁN
57	C	diagnosis_span_expand	325	354	hẹp ống sống C4-5, C5-6, C6-7	CHẨN_ĐOÁN	325	342	hẹp ống sống C4-5	TRIỆU_CHỨNG
58	D	trailing_punct_type_upgrade	1022	1043	tai biến mạch máu não	CHẨN_ĐOÁN	1022	1044	tai biến mạch máu não.	TRIỆU_CHỨNG
63	C	diagnosis_span_expand	1567	1605	viêm túi mật cấp tính không biến chứng	CHẨN_ĐOÁN	1567	1588	viêm túi mật cấp tính	TRIỆU_CHỨNG
75	A	drug_junk_boundary	1256	1269	nitroglycerin	THUỐC	1256	1270	nitroglycerin.	THUỐC
83	C	diagnosis_span_expand	268	286	hở van hai lá nặng	CHẨN_ĐOÁN	268	281	hở van hai lá	CHẨN_ĐOÁN
86	C	diagnosis_span_expand	650	690	bệnh ba thân động mạch vành nghiêm trọng	CHẨN_ĐOÁN	650	677	bệnh ba thân động mạch vành	TRIỆU_CHỨNG
87	C	diagnosis_span_expand	795	824	nhiễm trùng chi dưới bên phải	CHẨN_ĐOÁN	795	815	nhiễm trùng chi dưới	TRIỆU_CHỨNG
88	C	diagnosis_span_expand	143	183	Tăng áp động mạch phổi mức độ trung bình	CHẨN_ĐOÁN	143	165	Tăng áp động mạch phổi	TRIỆU_CHỨNG
88	C	diagnosis_span_expand	189	231	U lympho không hodgkin tế bàoB lớn lan toả	CHẨN_ĐOÁN	189	219	U lympho không hodgkin tế bàoB	TRIỆU_CHỨNG
88	D	leading_junk_type_upgrade	938	963	Loét bàn chân nhiễm trùng	CHẨN_ĐOÁN	935	963	dõiLoét bàn chân nhiễm trùng	TRIỆU_CHỨNG
94	A	drug_junk_boundary	777	783	aleven	THUỐC	777	787	alevenhưng	THUỐC
96	C	diagnosis_span_expand	1472	1509	nhiễm trùng huyết đường vào tiết niệu	CHẨN_ĐOÁN	1472	1489	nhiễm trùng huyết	TRIỆU_CHỨNG
97	C	diagnosis_span_expand	862	889	nhiễm trùng đường tiết niệu	CHẨN_ĐOÁN	862	873	nhiễm trùng	TRIỆU_CHỨNG
