file	line_id	text	type	status	detail
60	L013	thoát vị	CHẨN_ĐOÁN	zero_match	Exact text not found in line
70	L016	đau bụng ngày càng nặng	TRIỆU_CHỨNG	zero_match	Exact text not found in line
73	L002	đau ngực	TRIỆU_CHỨNG	multiple_match	Found 2 exact occurrences; rejecting in v9
74	L013	đau	TRIỆU_CHỨNG	zero_match	Exact text not found in line
74	L027	khó chịu khi đại tiện	TRIỆU_CHỨNG	zero_match	Exact text not found in line
75	L023	nitroglycerin	THUỐC	multiple_match	Found 2 exact occurrences; rejecting in v9
77	L016	trầm cảm	CHẨN_ĐOÁN	zero_match	Exact text not found in line
77	L017	suboxone	THUỐC	multiple_match	Found 2 exact occurrences; rejecting in v9
82	L011	nôn	TRIỆU_CHỨNG	multiple_match	Found 2 exact occurrences; rejecting in v9
84	L005	tăng huyết áp	CHẨN_ĐOÁN	multiple_match	Found 2 exact occurrences; rejecting in v9
84	L011	ho	TRIỆU_CHỨNG	multiple_match	Found 2 exact occurrences; rejecting in v9
94	L008	buồn nôn	TRIỆU_CHỨNG	multiple_match	Found 2 exact occurrences; rejecting in v9
94	L008	nôn	TRIỆU_CHỨNG	multiple_match	Found 4 exact occurrences; rejecting in v9
96	L009	zosyn	THUỐC	multiple_match	Found 2 exact occurrences; rejecting in v9
96	L014	da khô	TRIỆU_CHỨNG	zero_match	Exact text not found in line
96	L016	đau bụng	TRIỆU_CHỨNG	zero_match	Exact text not found in line
96	L017	hạ huyết áp	TRIỆU_CHỨNG	zero_match	Exact text not found in line
96	L018	mạch nhanh	TRIỆU_CHỨNG	zero_match	Exact text not found in line
