file	start	end	text	baseline_candidates	baseline_candidate_terms	baseline_candidate_ttys	safe_ingredient_rxcui	safe_ingredient_term	ingredient_resolution_source	ingredient_conflict	multi_ingredient	has_explicit_strength	strength_low	strength_high	strength_unit	is_strength_range	route	dose_form	explicit_brand	probe_1_candidate	probe_2_candidate	probe_3_candidates
16	1578	1584	guaiac	1373150	guaiac	IN	1373150	guaiac	lexical+baseline	False	False	False				False			False	1373150	1373150	1373150
16	1909	1915	guaiac	1373150	guaiac	IN	1373150	guaiac	lexical+baseline	False	False	False				False			False	1373150	1373150	1373150
17	367	374	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
17	378	383	advil	153010	advil	BN				False	False	False				False			True	153010	153010	153010
17	1041	1061	kháng sinh tĩnh mạch	852617	karaya gum extract	IN	852617	karaya gum extract	baseline_term	False	False	False				False	iv		False	852617	852617	852617
19	382	389	vicodin	128793	vicodin	BN				False	False	False				False			True	128793	128793	128793
19	906	913	vicodin	128793	vicodin	BN				False	False	False				False			True	128793	128793	128793
19	1081	1088	vicodin	128793	vicodin	BN				False	False	False				False			True	128793	128793	128793
20	354	364	metoprolol	6918	metoprolol	IN	6918	metoprolol	lexical+baseline	False	False	False				False			False	6918	6918	6918
20	405	417	desmopressin	3251	desmopressin	IN	3251	desmopressin	lexical+baseline	False	False	False				False			False	3251	3251	3251
22	75	90	aspirin 325mg h	198467	aspirin 325 mg delayed release oral tablet	PSN|SCD|SY	1191	aspirin	lexical+baseline	False	False	True	325	325	mg	False			False	1191	1191	198467|1191
24	691	710	thuốci levafloxacin	37771	temafloxacin	IN	37771	temafloxacin	baseline_term	False	False	False				False			False	37771	37771	37771
24	714	724	cephalexin	2231	cefalexin	IN|SY	2231	cefalexin	lexical+baseline	False	False	False				False			False	2231	2231	2231
24	1351	1361	vancomycin	11124	vancomycin	IN	11124	vancomycin	lexical+baseline	False	False	False				False			False	11124	11124	11124
27	204	212	coumadin	202421	coumadin	BN				False	False	False				False			True	202421	202421	202421
27	248	256	coumadin	202421	coumadin	BN				False	False	False				False			True	202421	202421	202421
27	1018	1043	albuterolipratropium nebs	435	albuterol	IN	435	albuterol	baseline_term	False	False	False				False			False	435	435	435
27	1053	1079	"metoprolol 5mg iv x2
    C"	250082	metoprolol 5 mg/ml injectable solution	SCD	6918	metoprolol	lexical+baseline	False	False	True	5	5	mg	False	iv		False	6918	6918	250082|6918
27	1298	1308	metoprolol	6918	metoprolol	IN	6918	metoprolol	lexical+baseline	False	False	False				False			False	6918	6918	6918
28	358	365	eliquis	1364436	eliquis	BN				False	False	False				False			True	1364436	1364436	1364436
28	1768	1774	lipase	6406	lipase	IN	6406	lipase	lexical+baseline	False	False	False				False			False	6406	6406	6406
30	100	111	cholesterol	2438	cholesterol	IN	2438	cholesterol	lexical+baseline	False	False	False				False			False	2438	2438	2438
30	190	197	gleevec	282386	gleevec	BN				False	False	False				False			True	282386	282386	282386
30	239	250	allopurinol	519	allopurinol	IN	519	allopurinol	lexical+baseline	False	False	False				False			False	519	519	519
30	751	758	gleevec	282386	gleevec	BN				False	False	False				False			True	282386	282386	282386
30	797	808	allopurinol	519	allopurinol	IN	519	allopurinol	lexical+baseline	False	False	False				False			False	519	519	519
30	1289	1303	Thuốc giảm đau	2380565	gimoti	BN				False	False	False				False			False	2380565	2380565	2380565
30	1324	1331	gleevec	282386	gleevec	BN				False	False	False				False			True	282386	282386	282386
30	1369	1380	allopurinol	519	allopurinol	IN	519	allopurinol	lexical+baseline	False	False	False				False			False	519	519	519
32	1033	1044	methicillin	2181306	methicillin	IN	2181306	methicillin	lexical+baseline	False	False	False				False			False	2181306	2181306	2181306
32	1465	1474	albuterol	435	albuterol	IN	435	albuterol	lexical+baseline	False	False	False				False			False	435	435	435
32	1487	1498	guaifenesin	5032	guaifenesin	IN|TMSY	5032	guaifenesin	lexical+baseline	False	False	False				False			False	5032	5032	5032
32	1502	1518	furosemide 40 mg	315971	furosemide 40 mg	SCDC	4603	furosemide	lexical+baseline	False	False	True	40	40	mg	False			False	4603	4603	315971|4603
32	2156	2167	methicillin	2181306	methicillin	IN	2181306	methicillin	lexical+baseline	False	False	False				False			False	2181306	2181306	2181306
33	197	207	furosemide	4603	furosemide	IN	4603	furosemide	lexical+baseline	False	False	False				False			False	4603	4603	4603
33	1401	1418	bumetanide 2mg iv	315502	bumetanide 2 mg	SCDC	1808	bumetanide	lexical+baseline	False	False	True	2	2	mg	False	iv		False	1808	1808	315502|1808
33	1434	1451	vancomycin 1 gram	1807512	vancomycin 1000 mg	SCDC	11124	vancomycin	lexical+baseline	False	False	True	1	1	g	False			False	11124	11124	1807512|11124
33	1467	1488	levofloxacin 750mg iv	311296	levofloxacin 750 mg oral tablet	PSN|SCD|TMSY	82122	levofloxacin	lexical+baseline	False	False	True	750	750	mg	False	iv		False	311296	82122	311296|82122
33	1504	1517	aspirin 325mg	317300	aspirin 325 mg	SCDC	1191	aspirin	lexical+baseline	False	False	True	325	325	mg	False			False	1191	1191	317300|1191
33	1533	1563	albuterolipratropium nebulizer	2108233	albuterol inhalation powder	SCDF	435	albuterol	baseline_term	False	False	False				False			False	435	435	2108233|435
33	1579	1603	methylprednisolone 125mg	1743702	methylprednisolone 125 mg	SCDC|TMSY	6902	methylprednisolone	lexical+baseline	False	False	True	125	125	mg	False			False	1743704	6902	1743702|6902
34	280	301	thuốc giảm đau opioid	220150	t-gesic	BN				False	False	False				False			False	220150	220150	220150
34	1245	1266	thuốc giảm đau opioid	220150	t-gesic	BN				False	False	False				False			False	220150	220150	220150
34	1279	1300	thuốc giảm đau opioid	220150	t-gesic	BN				False	False	False				False			False	220150	220150	220150
35	99	106	gleevec	282386	gleevec	BN				False	False	False				False			True	282386	282386	282386
35	381	388	gleevec	282386	gleevec	BN				False	False	False				False			True	282386	282386	282386
35	1047	1054	gleevec	282386	gleevec	BN				False	False	False				False			True	282386	282386	282386
35	1718	1725	gleevec	282386	gleevec	BN				False	False	False				False			True	282386	282386	282386
36	208	220	azathioprine	1256	azathioprine	IN|TMSY	1256	azathioprine	lexical+baseline	False	False	False				False			False	1256	1256	1256
36	233	240	prograf	196463	prograf	BN				False	False	False				False			True	196463	196463	196463
36	264	269	g bid	217225	g bid	BN				False	False	False				False			True	217225	217225	217225
36	275	280	g bid	217225	g bid	BN				False	False	False				False			True	217225	217225	217225
36	294	302	cellcept	152633	cellcept	BN				False	False	False				False			True	152633	152633	152633
36	324	332	cellcept	152633	cellcept	BN				False	False	False				False			True	152633	152633	152633
36	457	467	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
36	514	524	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
36	573	583	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
36	653	661	cellcept	152633	cellcept	BN				False	False	False				False			True	152633	152633	152633
36	692	702	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
36	893	900	prograf	196463	prograf	BN				False	False	False				False			True	196463	196463	196463
36	953	963	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
36	1179	1189	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
36	1385	1393	cellcept	152633	cellcept	BN				False	False	False				False			True	152633	152633	152633
36	1469	1476	prograf	196463	prograf	BN				False	False	False				False			True	196463	196463	196463
36	1736	1746	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
36	1936	1946	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
37	224	233	Torsemide	38413	torsemide	IN|SY	38413	torsemide	lexical+baseline	False	False	False				False			False	38413	38413	38413
37	274	290	Insulin glargine	274783	insulin glargine	IN	274783	insulin glargine	lexical+baseline	False	False	False				False			False	274783	274783	274783
37	349	359	Isosorbide	6057	isosorbide	IN	6057	isosorbide	lexical+baseline	False	False	False				False			False	6057	6057	6057
37	405	417	Rosuvastatin	301542	rosuvastatin	IN	301542	rosuvastatin	lexical+baseline	False	False	False				False			False	301542	301542	301542
37	419	426	Crestor	320864	crestor	BN				False	False	False				False			True	320864	320864	320864
37	473	483	Carvedilol	20352	carvedilol	IN	20352	carvedilol	lexical+baseline	False	False	False				False			False	20352	20352	20352
37	607	617	Creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
37	741	750	Torsemide	38413	torsemide	IN|SY	38413	torsemide	lexical+baseline	False	False	False				False			False	38413	38413	38413
37	805	814	torsemide	38413	torsemide	IN|SY	38413	torsemide	lexical+baseline	False	False	False				False			False	38413	38413	38413
37	1040	1050	isosorbide	6057	isosorbide	IN	6057	isosorbide	lexical+baseline	False	False	False				False			False	6057	6057	6057
37	1052	1059	crestor	320864	crestor	BN				False	False	False				False			True	320864	320864	320864
37	1061	1071	carvedilol	20352	carvedilol	IN	20352	carvedilol	lexical+baseline	False	False	False				False			False	20352	20352	20352
37	1102	1112	isosorbide	6057	isosorbide	IN	6057	isosorbide	lexical+baseline	False	False	False				False			False	6057	6057	6057
37	1114	1121	crestor	320864	crestor	BN				False	False	False				False			True	320864	320864	320864
37	1123	1133	carvedilol	20352	carvedilol	IN	20352	carvedilol	lexical+baseline	False	False	False				False			False	20352	20352	20352
37	1414	1424	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
37	1680	1687	insulin	253182	insulin, regular, human	IN	253182	insulin, regular, human	baseline_term	False	False	False				False			False	253182	253182	253182
37	1691	1699	dextrose	4850	glucose	IN	4850	glucose	baseline_term	False	False	False				False			False	4850	4850	4850
37	1723	1728	lasix	202991	lasix	BN				False	False	False				False			True	202991	202991	202991
38	1068	1078	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
40	176	183	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
40	190	197	mucinex	352777	mucinex	BN				False	False	False				False			True	352777	352777	352777
40	1207	1219	azithromycin	18631	azithromycin	IN	18631	azithromycin	lexical+baseline	False	False	False				False			False	18631	18631	18631
40	1243	1250	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
40	1254	1263	mucinex d	352777	mucinex	BN				False	False	False				False			True	352777	352777	352777
41	625	635	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
41	1168	1178	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
41	1695	1705	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
41	1753	1763	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
41	1965	1972	al pain	152220	phor pain	BN				False	False	False				False			False	152220	152220	152220
41	2473	2483	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
41	2594	2604	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
41	2876	2886	omeprazole	7646	omeprazole	IN	7646	omeprazole	lexical+baseline	False	False	False				False			False	7646	7646	7646
43	649	659	dobutamine	3616	dobutamine	IN|TMSY	3616	dobutamine	lexical+baseline	False	False	False				False			False	3616	3616	3616
43	1274	1284	dobutamine	3616	dobutamine	IN|TMSY	3616	dobutamine	lexical+baseline	False	False	False				False			False	3616	3616	3616
44	1440	1445	lasix	202991	lasix	BN				False	False	False				False			True	202991	202991	202991
44	1720	1725	lasix	202991	lasix	BN				False	False	False				False			True	202991	202991	202991
44	1740	1748	morphine	7052	morphine	IN	7052	morphine	lexical+baseline	False	False	False				False			False	7052	7052	7052
44	1760	1768	dilaudid	224913	dilaudid	BN				False	False	False				False			True	224913	224913	224913
44	1783	1793	metoprolol	6918	metoprolol	IN	6918	metoprolol	lexical+baseline	False	False	False				False			False	6918	6918	6918
44	1813	1822	diltiazem	3443	diltiazem	IN|TMSY	3443	diltiazem	lexical+baseline	False	False	False				False			False	3443	3443	3443
47	814	820	cholan	992825	cholan	BN				False	False	False				False			True	992825	992825	992825
47	2011	2017	cholan	992825	cholan	BN				False	False	False				False			True	992825	992825	992825
47	2805	2811	cholan	992825	cholan	BN				False	False	False				False			True	992825	992825	992825
50	159	173	albuterol nebs	435	albuterol	IN	435	albuterol	lexical+baseline	False	False	False				False			False	435	435	435
50	194	198	pack	746839	pack	DF				False	False	False				False			False	746839	746839	746839
50	747	757	prednisone	8640	prednisone	IN|TMSY	8640	prednisone	lexical+baseline	False	False	False				False			False	8640	8640	8640
50	771	782	amoxicillin	723	amoxicillin	IN	723	amoxicillin	lexical+baseline	False	False	False				False			False	723	723	723
50	820	831	amoxicillin	723	amoxicillin	IN	723	amoxicillin	lexical+baseline	False	False	False				False			False	723	723	723
50	884	896	azithromycin	18631	azithromycin	IN	18631	azithromycin	lexical+baseline	False	False	False				False			False	18631	18631	18631
50	915	931	prednisone 40 mg	451144	prednisone 40 mg	SCDC|TMSY	8640	prednisone	lexical+baseline	False	False	True	40	40	mg	False			False	429332	8640	451144|8640
50	1010	1020	prednisone	8640	prednisone	IN|TMSY	8640	prednisone	lexical+baseline	False	False	False				False			False	8640	8640	8640
50	1444	1464	prednisone giảm liều	582600	prednisone intensol	BN|TMSY	8640	prednisone	lexical+baseline	False	False	False				False			False	8640	8640	582600|8640
50	1468	1480	amoxicillin.	723	amoxicillin	IN	723	amoxicillin	lexical+baseline	False	False	False				False			False	723	723	723
50	1487	1498	amoxicillin	723	amoxicillin	IN	723	amoxicillin	lexical+baseline	False	False	False				False			False	723	723	723
50	1539	1552	azithromycin.	18631	azithromycin	IN	18631	azithromycin	lexical+baseline	False	False	False				False			False	18631	18631	18631
50	1561	1580	prednisone 40 mg/ng	451144	prednisone 40 mg	SCDC|TMSY	8640	prednisone	lexical+baseline	False	False	True	40	40	mg	False			False	429332	8640	451144|8640
50	1910	1919	combivent	151539	combivent	BN				False	False	False				False			True	151539	151539	151539
50	1954	1963	magnesium	6574	magnesium	IN	6574	magnesium	lexical+baseline	False	False	False				False			False	6574	6574	6574
50	1979	1989	prednisone	8640	prednisone	IN|TMSY	8640	prednisone	lexical+baseline	False	False	False				False			False	8640	8640	8640
51	795	807	azithromycin	18631	azithromycin	IN	18631	azithromycin	lexical+baseline	False	False	False				False			False	18631	18631	18631
52	568	572	sinh	1995984	sinuva	BN				False	False	False				False			False	1995984	1995984	1995984
52	630	639	Augmentin	151392	augmentin	BN				False	False	False				False			True	151392	151392	151392
54	298	308	vancomycin	11124	vancomycin	IN	11124	vancomycin	lexical+baseline	False	False	False				False			False	11124	11124	11124
54	311	322	ceftazidime	2191	ceftazidime	IN|TMSY	2191	ceftazidime	lexical+baseline	False	False	False				False			False	2191	2191	2191
54	325	335	amiodarone	703	amiodarone	IN	703	amiodarone	lexical+baseline	False	False	False				False			False	703	703	703
54	728	738	vancomycin	11124	vancomycin	IN	11124	vancomycin	lexical+baseline	False	False	False				False			False	11124	11124	11124
54	763	775	vancomycinvà	11124	vancomycin	IN	11124	vancomycin	baseline_term	False	False	False				False			False	11124	11124	11124
54	776	787	ceftazidime	2191	ceftazidime	IN|TMSY	2191	ceftazidime	lexical+baseline	False	False	False				False			False	2191	2191	2191
54	950	961	amiodarone.	703	amiodarone	IN	703	amiodarone	lexical+baseline	False	False	False				False			False	703	703	703
54	1034	1045	bicarbonate	1546277	bicarbonate ion	IN	1546277	bicarbonate ion	baseline_term	False	False	False				False			False	1546277	1546277	1546277
58	882	901	intravenous fluids.	316952	intravenous solution	DF				False	False	False				False	iv		False	316952	316952	316952
58	2079	2098	intravenous fluids.	316952	intravenous solution	DF				False	False	False				False	iv		False	316952	316952	316952
58	2161	2171	kháng sinh	2106369	khapzory	BN				False	False	False				False			False	2106369	2106369	2106369
63	618	625	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
63	655	662	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
63	896	903	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
63	1018	1025	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
63	1080	1087	tylenol	202433	tylenol	BN				False	False	False				False			True	202433	202433	202433
63	1407	1417	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
64	161	172	ciproflagyl	540704	ciproflaxacin	BN				False	False	False				False			False	540704	540704	540704
64	273	281	percocet	42844	percocet	BN				False	False	False				False			True	42844	42844	42844
64	582	590	percocet	42844	percocet	BN				False	False	False				False			True	42844	42844	42844
64	1262	1273	ciproflagyl	540704	ciproflaxacin	BN				False	False	False				False			False	540704	540704	540704
64	1400	1408	percocet	42844	percocet	BN				False	False	False				False			True	42844	42844	42844
66	587	596	ertapenem	325642	ertapenem	IN	325642	ertapenem	lexical+baseline	False	False	False				False			False	325642	325642	325642
66	927	937	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
66	943	953	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
69	268	274	guaiac	1373150	guaiac	IN	1373150	guaiac	lexical+baseline	False	False	False				False			False	1373150	1373150	1373150
69	360	366	guaiac	1373150	guaiac	IN	1373150	guaiac	lexical+baseline	False	False	False				False			False	1373150	1373150	1373150
70	171	190	acetaminophen 500mg	315266	acetaminophen 500 mg	SCDC	161	acetaminophen	lexical+baseline	False	False	True	500	500	mg	False			False	161	161	315266|161
70	202	206	pill	1151133	pill	DFG				False	False	False				False			False	1151133	1151133	1151133
70	1183	1202	acetaminophen 500mg	315266	acetaminophen 500 mg	SCDC	161	acetaminophen	lexical+baseline	False	False	True	500	500	mg	False			False	161	161	315266|161
70	1485	1498	acetaminophen	161	acetaminophen	IN	161	acetaminophen	lexical+baseline	False	False	False				False			False	161	161	161
70	1999	2012	ceruloplasmin	5363	histoplasmin	IN	5363	histoplasmin	baseline_term	False	False	False				False			False	5363	5363	5363
71	272	277	lasix	202991	lasix	BN				False	False	False				False			True	202991	202991	202991
71	544	549	lasix	202991	lasix	BN				False	False	False				False			True	202991	202991	202991
72	862	871	bilirubin	2285328	bilirubin preparation	IN	2285328	bilirubin preparation	baseline_term	False	False	False				False			False	2285328	2285328	2285328
73	760	772	aspirin 81mg	315431	aspirin 81 mg	SCDC	1191	aspirin	lexical+baseline	False	False	True	81	81	mg	False			False	1191	1191	315431|1191
73	787	798	clopidogrel	32968	clopidogrel	IN	32968	clopidogrel	lexical+baseline	False	False	False				False			False	32968	32968	32968
73	800	809	prasugrel	613391	prasugrel	IN	613391	prasugrel	lexical+baseline	False	False	False				False			False	613391	613391	613391
73	822	833	clopidogrel	32968	clopidogrel	IN	32968	clopidogrel	lexical+baseline	False	False	False				False			False	32968	32968	32968
73	860	892	metoprolol succinate 100mg daily	866415	metoprolol succinate 100 mg extended release oral tablet	SCD				False	True	True	100	100	mg	False			False	866415	866415	866415
73	911	927	lasix 40mg daily	200809	lasix 40 mg oral tablet	PSN|SBD|SY	4603	furosemide	baseline_term	False	False	True	40	40	mg	False			True	200809	4603	200809|4603
73	946	969	atorvastatin 80mg daily	259255	atorvastatin 80 mg oral tablet	PSN|SCD|SY	83367	atorvastatin	lexical+baseline	False	False	True	80	80	mg	False			False	83367	83367	259255|83367
73	986	1008	lisinopril 2.5mg daily	311353	lisinopril 2.5 mg oral tablet	PSN|SCD	29046	lisinopril	lexical+baseline	False	False	True	2.5	2.5	mg	False			False	311353	29046	311353|29046
73	1025	1043	ranexa 500mg daily	616495	ranolazine 500 mg extended release oral tablet [ranexa]	SBD|SY	35829	ranolazine	baseline_term	False	False	True	500	500	mg	False			True	616495	35829	616495|35829
74	165	170	cipro	203563	cipro	BN				False	False	False				False			True	203563	203563	203563
74	177	184	bactrim	151399	bactrim	BN				False	False	False				False			True	151399	151399	151399
74	634	656	iv morphineiv morphine	1728776	morphine injection	SCDF	7052	morphine	lexical+baseline	False	False	False				False	iv		False	7052	7052	1728776|7052
74	661	668	toradol	57309	toradol	BN				False	False	False				False			True	57309	57309	57309
74	1012	1017	cipro	203563	cipro	BN				False	False	False				False			True	203563	203563	203563
74	1021	1028	bactrim	151399	bactrim	BN				False	False	False				False			True	151399	151399	151399
75	786	799	nitroglycerin	4917	nitroglycerin	IN|SY	4917	nitroglycerin	lexical+baseline	False	False	False				False			False	4917	4917	4917
75	909	922	nitroglycerin	4917	nitroglycerin	IN|SY	4917	nitroglycerin	lexical+baseline	False	False	False				False			False	4917	4917	4917
75	1226	1233	aspirin	1191	aspirin	IN	1191	aspirin	lexical+baseline	False	False	False				False			False	1191	1191	1191
75	1256	1270	nitroglycerin.	4917	nitroglycerin	IN|SY	4917	nitroglycerin	lexical+baseline	False	False	False				False			False	4917	4917	4917
75	1277	1296	Thuốc nitroglycerin	4917	nitroglycerin	IN|SY	4917	nitroglycerin	lexical+baseline	False	False	False				False			False	4917	4917	4917
75	1318	1334	mỡ nitroglycerin	4917	nitroglycerin	IN|SY	4917	nitroglycerin	lexical+baseline	False	False	False				False			False	4917	4917	4917
75	1342	1348	ativan	202479	ativan	BN				False	False	False				False			True	202479	202479	202479
75	1351	1360	Lorazepam	6470	lorazepam	IN|TMSY	6470	lorazepam	lexical+baseline	False	False	False				False			False	6470	6470	6470
75	1368	1375	lovenox	225036	lovenox	BN				False	False	False				False			True	225036	225036	225036
76	355	361	plavix	174742	plavix	BN				False	False	False				False			True	174742	174742	174742
76	373	384	nitrateskhi	1546271	nitrate ion	IN	1546271	nitrate ion	baseline_term	False	False	False				False			False	1546271	1546271	1546271
76	631	644	nitroglycerin	4917	nitroglycerin	IN|SY	4917	nitroglycerin	lexical+baseline	False	False	False				False			False	4917	4917	4917
76	1006	1013	heparin	5224	heparin	IN	5224	heparin	lexical+baseline	False	False	False				False			False	5224	5224	5224
76	1041	1046	nitro	202521	nitrol	BN				False	False	False				False			False	202521	202521	202521
76	1050	1070	"dilaudid 3mg  
    K"	897751	hydromorphone hydrochloride 3 mg rectal suppository [dilaudid]	SBD|SY|TMSY				False	True	True	3	3	mg	False			True	897751	897751	897751
76	1118	1128	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
77	46	63	klonopinclonidine	202585	klonopin	BN|TMSY				False	False	False				False			False	202585	202585	202585
77	73	89	đặt nội khí quản	2716551	khindivi	BN				False	False	False				False			False	2716551	2716551	2716551
77	360	377	klonopinclonidine	202585	klonopin	BN|TMSY				False	False	False				False			False	202585	202585	202585
77	398	407	clonidine	2599	clonidine	IN|TMSY	2599	clonidine	lexical+baseline	False	False	False				False			False	2599	2599	2599
77	435	443	suboxone	352990	suboxone	BN				False	False	False				False			True	352990	352990	352990
77	593	615	chất gây nghiện opioid	3304	heroin	IN|SY	3304	heroin	baseline_term	False	False	False				False			False	3304	3304	3304
77	957	965	suboxone	352990	suboxone	BN				False	False	False				False			True	352990	352990	352990
77	1000	1008	suboxone	352990	suboxone	BN				False	False	False				False			True	352990	352990	352990
82	823	833	creatinine	2913	creatinine	IN	2913	creatinine	lexical+baseline	False	False	False				False			False	2913	2913	2913
83	364	372	lợi tiểu	1090993	jinteli	BN				False	False	False				False			False	1090993	1090993	1090993
84	1023	1030	nitrite	1546424	nitrite ion	IN	1546424	nitrite ion	baseline_term	False	False	False				False			False	1546424	1546424	1546424
84	1254	1263	Albuterol	435	albuterol	IN	435	albuterol	lexical+baseline	False	False	False				False			False	435	435	435
84	1267	1284	Ipratropium 1 lần	7213	ipratropium	IN	7213	ipratropium	lexical+baseline	False	False	False				False			False	7213	7213	7213
