file	v7_label	v7_teacher_n	v7_other_n	v7_exact_agreement	v7_overlap_agreement	v7_additions	v7_removals	v7_type_changes	v7_boundary_changes	v7_assertion_changes	v7_candidate_changes	v7_teacher_by_type	v7_other_by_type	v10_label	v10_teacher_n	v10_other_n	v10_exact_agreement	v10_overlap_agreement	v10_additions	v10_removals	v10_type_changes	v10_boundary_changes	v10_assertion_changes	v10_candidate_changes	v10_teacher_by_type	v10_other_by_type
30	v7	13	25	5	7	8	20	6	3	8	5	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 8, ""TÊN_XÉT_NGHIỆM"": 3}"	v10	13	25	5	7	8	20	6	3	8	5	"{""CHẨN_ĐOÁN"": 5, ""THUỐC"": 3, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 8, ""TÊN_XÉT_NGHIỆM"": 3}"
31	v7	4	3	1	2	3	2	0	1	0	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TÊN_XÉT_NGHIỆM"": 1, ""TRIỆU_CHỨNG"": 2}"	v10	4	3	1	2	3	2	0	1	0	0	"{""TRIỆU_CHỨNG"": 4}"	"{""TÊN_XÉT_NGHIỆM"": 1, ""TRIỆU_CHỨNG"": 2}"
32	v7	48	48	14	29	34	34	12	21	21	8	"{""TRIỆU_CHỨNG"": 28, ""CHẨN_ĐOÁN"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 4, ""TÊN_XÉT_NGHIỆM"": 4, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 33, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2, ""CHẨN_ĐOÁN"": 2}"	v10	48	48	15	29	33	33	12	20	22	9	"{""TRIỆU_CHỨNG"": 28, ""CHẨN_ĐOÁN"": 9, ""KẾT_QUẢ_XÉT_NGHIỆM"": 4, ""TÊN_XÉT_NGHIỆM"": 4, ""THUỐC"": 3}"	"{""TRIỆU_CHỨNG"": 32, ""CHẨN_ĐOÁN"": 3, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
33	v7	20	39	8	16	12	31	5	7	5	9	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 7, ""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 29, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 7, ""TÊN_XÉT_NGHIỆM"": 1}"	v10	20	39	8	16	12	31	5	7	5	9	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 7, ""TRIỆU_CHỨNG"": 7, ""TÊN_XÉT_NGHIỆM"": 1, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1}"	"{""TRIỆU_CHỨNG"": 29, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 7, ""TÊN_XÉT_NGHIỆM"": 1}"
34	v7	18	37	9	15	9	28	3	5	0	4	"{""CHẨN_ĐOÁN"": 2, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 15}"	"{""TRIỆU_CHỨNG"": 24, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 3}"	v10	18	37	9	15	9	28	3	5	0	4	"{""CHẨN_ĐOÁN"": 2, ""THUỐC"": 1, ""TRIỆU_CHỨNG"": 15}"	"{""TRIỆU_CHỨNG"": 24, ""CHẨN_ĐOÁN"": 5, ""TÊN_XÉT_NGHIỆM"": 5, ""THUỐC"": 3}"
35	v7	50	54	22	37	28	32	12	14	2	11	"{""CHẨN_ĐOÁN"": 10, ""TRIỆU_CHỨNG"": 21, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"	"{""TRIỆU_CHỨNG"": 28, ""THUỐC"": 4, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	v10	50	54	22	37	28	32	12	14	2	11	"{""CHẨN_ĐOÁN"": 10, ""TRIỆU_CHỨNG"": 21, ""THUỐC"": 1, ""TÊN_XÉT_NGHIỆM"": 10, ""KẾT_QUẢ_XÉT_NGHIỆM"": 8}"	"{""TRIỆU_CHỨNG"": 28, ""THUỐC"": 4, ""CHẨN_ĐOÁN"": 7, ""TÊN_XÉT_NGHIỆM"": 8, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"
36	v7	48	60	14	22	34	46	15	14	4	8	"{""CHẨN_ĐOÁN"": 7, ""THUỐC"": 3, ""TÊN_XÉT_NGHIỆM"": 20, ""KẾT_QUẢ_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 16, ""TÊN_XÉT_NGHIỆM"": 12, ""THUỐC"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 14}"	v10	48	60	15	23	33	45	14	13	4	9	"{""CHẨN_ĐOÁN"": 7, ""THUỐC"": 3, ""TÊN_XÉT_NGHIỆM"": 20, ""KẾT_QUẢ_XÉT_NGHIỆM"": 13, ""TRIỆU_CHỨNG"": 5}"	"{""TRIỆU_CHỨNG"": 15, ""TÊN_XÉT_NGHIỆM"": 12, ""THUỐC"": 18, ""KẾT_QUẢ_XÉT_NGHIỆM"": 14, ""CHẨN_ĐOÁN"": 1}"
37	v7	39	54	15	26	24	39	8	17	8	9	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 8, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 11}"	"{""TÊN_XÉT_NGHIỆM"": 14, ""TRIỆU_CHỨNG"": 12, ""CHẨN_ĐOÁN"": 2, ""THUỐC"": 19, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"	v10	39	54	16	27	23	38	7	16	8	8	"{""CHẨN_ĐOÁN"": 4, ""THUỐC"": 8, ""TRIỆU_CHỨNG"": 3, ""TÊN_XÉT_NGHIỆM"": 13, ""KẾT_QUẢ_XÉT_NGHIỆM"": 11}"	"{""TÊN_XÉT_NGHIỆM"": 14, ""TRIỆU_CHỨNG"": 11, ""CHẨN_ĐOÁN"": 3, ""THUỐC"": 19, ""KẾT_QUẢ_XÉT_NGHIỆM"": 7}"
38	v7	27	42	12	20	15	30	4	13	5	3	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 11, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6}"	"{""TRIỆU_CHỨNG"": 22, ""CHẨN_ĐOÁN"": 3, ""TÊN_XÉT_NGHIỆM"": 11, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5, ""THUỐC"": 1}"	v10	27	42	12	20	15	30	4	13	5	3	"{""CHẨN_ĐOÁN"": 4, ""TRIỆU_CHỨNG"": 11, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 6}"	"{""TRIỆU_CHỨNG"": 22, ""CHẨN_ĐOÁN"": 3, ""TÊN_XÉT_NGHIỆM"": 11, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5, ""THUỐC"": 1}"
39	v7	15	20	8	11	7	12	3	2	0	2	"{""TRIỆU_CHỨNG"": 9, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1, ""CHẨN_ĐOÁN"": 3}"	"{""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 3}"	v10	15	20	8	11	7	12	3	2	0	2	"{""TRIỆU_CHỨNG"": 9, ""TÊN_XÉT_NGHIỆM"": 2, ""KẾT_QUẢ_XÉT_NGHIỆM"": 1, ""CHẨN_ĐOÁN"": 3}"	"{""TRIỆU_CHỨNG"": 17, ""TÊN_XÉT_NGHIỆM"": 3}"
4	v7	34	47	19	25	15	28	7	11	3	2	"{""THUỐC"": 1, ""TRIỆU_CHỨNG"": 19, ""TÊN_XÉT_NGHIỆM"": 7, ""CHẨN_ĐOÁN"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""THUỐC"": 4, ""TRIỆU_CHỨNG"": 35, ""TÊN_XÉT_NGHIỆM"": 8}"	v10	34	47	21	27	13	26	5	8	3	1	"{""THUỐC"": 1, ""TRIỆU_CHỨNG"": 19, ""TÊN_XÉT_NGHIỆM"": 7, ""CHẨN_ĐOÁN"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	"{""THUỐC"": 4, ""TRIỆU_CHỨNG"": 32, ""TÊN_XÉT_NGHIỆM"": 8, ""CHẨN_ĐOÁN"": 3}"
40	v7	43	43	24	33	19	19	6	12	3	5	"{""CHẨN_ĐOÁN"": 6, ""THUỐC"": 5, ""TRIỆU_CHỨNG"": 22, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"	"{""TRIỆU_CHỨNG"": 30, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"	v10	43	43	24	33	19	19	6	12	3	5	"{""CHẨN_ĐOÁN"": 6, ""THUỐC"": 5, ""TRIỆU_CHỨNG"": 22, ""TÊN_XÉT_NGHIỆM"": 5, ""KẾT_QUẢ_XÉT_NGHIỆM"": 5}"	"{""TRIỆU_CHỨNG"": 30, ""THUỐC"": 5, ""TÊN_XÉT_NGHIỆM"": 6, ""KẾT_QUẢ_XÉT_NGHIỆM"": 2}"
